Tip document,Nr. factura,Data factura,Furnizor,Suma factura (lei),Baza TVA (lei),Baza TVA 0 (lei),Valoare TVA (lei)
Factura        ,7015501,15.05.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,512.48,430.64,0,81.84
Factura        ,123652,16.05.2019 00:00:00,LANDER SPORT SRL,1283.42,1078.5,0,204.92
Factura        ,1741,17.05.2019 00:00:00,PIM SERVICE SRL,1540,1294.1,0,245.9
Factura        ,547,20.05.2019 00:00:00,SAV COM ADVERTISING S.R.L.,446.25,375,0,71.25
Factura        ,7015651,22.05.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,433.04,363.89,0,69.15
Factura        ,7015704,24.05.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,747.02,627.7,0,119.32
Factura        ,1000418801,28.05.2019 00:00:00,ANTALIS SA,249.13,209.35,0,39.78
Factura        ,3921,28.05.2019 00:00:00,KOLOS GROUP SRL,626.49,526.46,0,100.03
Factura        ,7015743,28.05.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,605.98,509.22,0,96.76
Factura        ,2062206,03.06.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,232.55,195.4,0,37.15
Factura        ,48938,03.06.2019 00:00:00,PRO DATA INTERNATIONAL SRL,2081.2,1748.86,0,332.34
Factura        ,7015827,03.06.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,409.98,344.52,0,65.46
Factura        ,3958,04.06.2019 00:00:00,KOLOS GROUP SRL,939.74,789.7,0,150.04
Factura        ,71911324,04.06.2019 00:00:00,EUROPAPIER ROMANIA SRL,2185.12,1836.19,0,348.93
Factura        ,71911328,04.06.2019 00:00:00,EUROPAPIER ROMANIA SRL,2475.2,2080,0,395.2
Factura        ,567,05.06.2019 00:00:00,SAV COM ADVERTISING S.R.L.,452.2,380,0,72.2
Factura        ,7015885,05.06.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,704.1,591.68,0,112.42
Factura        ,71911404,05.06.2019 00:00:00,EUROPAPIER ROMANIA SRL,3702.71,3111.26,0,591.45
Factura        ,7100200,06.06.2019 00:00:00,DACORA PRINT SRL,1864.1,1566.47,0,297.63
Factura        ,71911514,06.06.2019 00:00:00,EUROPAPIER ROMANIA SRL,846.49,711.34,0,135.15
Factura        ,49121,07.06.2019 00:00:00,PRO DATA INTERNATIONAL SRL,5225.96,4391.56,0,834.4
Factura        ,71911666,07.06.2019 00:00:00,EUROPAPIER ROMANIA SRL,2475.2,2080,0,395.2
Factura        ,7015996,11.06.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,577.43,485.23,0,92.2
Factura        ,71911825,11.06.2019 00:00:00,EUROPAPIER ROMANIA SRL,6056.48,5089.48,0,967
Factura        ,8336,11.06.2019 00:00:00,PHONUS SRL,1685.04,1416,0,269.04
Factura        ,7016025,12.06.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,685.7,576.2,0,109.5
Factura        ,1000420480,14.06.2019 00:00:00,ANTALIS SA,560.67,471.15,0,89.52
Factura        ,4010,14.06.2019 00:00:00,KOLOS GROUP SRL,939.74,789.7,0,150.04
Factura        ,7016044,14.06.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,1197.02,1005.88,0,191.14
Factura        ,124296,18.06.2019 00:00:00,LANDER SPORT SRL,424.24,356.5,0,67.74
Factura        ,623024,18.06.2019 00:00:00,CONCRET CONSULT SRL,1123.55,944.16,0,179.39
Factura        ,7016081,18.06.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,849.98,714.26,0,135.72
Factura        ,8386,19.06.2019 00:00:00,PHONUS SRL,522.41,439,0,83.41
Factura        ,71912684,24.06.2019 00:00:00,EUROPAPIER ROMANIA SRL,3814.55,3205.5,0,609.05
Factura        ,71912709,24.06.2019 00:00:00,EUROPAPIER ROMANIA SRL,3280.91,2756.88,0,524.03
Factura        ,7016178,25.06.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,345.87,290.64,0,55.23
Factura        ,8412,26.06.2019 00:00:00,PHONUS SRL,439.11,369,0,70.11
Factura        ,4068,26.06.2019 00:00:00,KOLOS GROUP SRL,1252.99,1052.93,0,200.06
Factura        ,124492,27.06.2019 00:00:00,LANDER SPORT SRL,848.47,713,0,135.47
Factura        ,7016223,27.06.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,1348.06,1132.77,0,215.29
Factura        ,8429,27.06.2019 00:00:00,PHONUS SRL,252.28,212,0,40.28
Factura        ,94544,27.06.2019 00:00:00,ANEMONA COM SRL,616.52,518.08,0,98.44
Factura        ,8450,28.06.2019 00:00:00,PHONUS SRL,1713.6,1440,0,273.6
Factura        ,1000421771,01.07.2019 00:00:00,ANTALIS SA,287.79,241.84,0,45.95
Factura        ,1000421772,01.07.2019 00:00:00,ANTALIS SA,684.38,575.11,0,109.27
Factura        ,7101043,03.07.2019 00:00:00,DACORA PRINT SRL,2490.61,2092.95,0,397.66
Factura        ,2064764,08.07.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,532.18,447.2,0,84.98
Factura        ,626232,08.07.2019 00:00:00,CONCRET CONSULT SRL,1475.72,1240.1,0,235.62
Factura        ,626233,08.07.2019 00:00:00,CONCRET CONSULT SRL,825.77,693.92,0,131.85
Factura        ,626234,08.07.2019 00:00:00,CONCRET CONSULT SRL,202.56,170.22,0,32.34
Factura        ,1856,11.07.2019 00:00:00,PIM SERVICE SRL,999.92,840.22,0,159.7
Factura        ,71914403,17.07.2019 00:00:00,EUROPAPIER ROMANIA SRL,141.93,119.27,0,22.66
Factura        ,51597,18.07.2019 00:00:00,TRAOLI SRL,605.45,508.78,0,96.67
Factura        ,71914670,22.07.2019 00:00:00,EUROPAPIER ROMANIA SRL,471.52,396.24,0,75.28
Factura        ,1859,23.07.2019 00:00:00,PIM SERVICE SRL,794.95,667.95,0,127
Factura        ,7016642,23.07.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,911.67,766.08,0,145.59
Factura        ,28387,25.07.2019 00:00:00,GREEN INDUSTRIES MANAGEMENT SRL,125.32,105.31,0,20.01
Factura        ,71915136,29.07.2019 00:00:00,EUROPAPIER ROMANIA SRL,1894.25,1591.78,0,302.47
Factura        ,71915522,01.08.2019 00:00:00,EUROPAPIER ROMANIA SRL,3700.2,3109.41,0,590.79
Factura        ,71916005,12.08.2019 00:00:00,EUROPAPIER ROMANIA SRL,478.74,402.3,0,76.44
Factura        ,7016981,14.08.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,1062.07,892.47,0,169.6
Factura        ,71916195,14.08.2019 00:00:00,EUROPAPIER ROMANIA SRL,1443.17,1212.74,0,230.43
Factura        ,71916238,14.08.2019 00:00:00,EUROPAPIER ROMANIA SRL,2391.9,2010,0,381.9
Factura        ,7017022,20.08.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,721.91,606.64,0,115.27
Factura        ,71916480,20.08.2019 00:00:00,EUROPAPIER ROMANIA SRL,981.91,825.04,0,156.87
Factura        ,8757,21.08.2019 00:00:00,PHONUS SRL,871.68,732.5,0,139.18
Factura        ,214,21.08.2019 00:00:00,SUBLIMEDIANET SRL,1076.4,0,1076.4,0
Factura        ,7017047,21.08.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,309.52,260.1,0,49.42
Factura        ,71916560,21.08.2019 00:00:00,EUROPAPIER ROMANIA SRL,4974.83,4180.53,0,794.3
Factura        ,71916899,27.08.2019 00:00:00,EUROPAPIER ROMANIA SRL,9386.44,7887.66,0,1498.78
Factura        ,71917245,30.08.2019 00:00:00,EUROPAPIER ROMANIA SRL,1488.14,1250.53,0,237.61
Factura        ,71917565,30.08.2019 00:00:00,EUROPAPIER ROMANIA SRL,2634.66,2214,0,420.66
Factura        ,71917322,02.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,3538.01,2972.5,0,565.51
Factura        ,71917494,03.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,889.23,747.25,0,141.98
Factura        ,71917611,04.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,1403.61,1179.5,0,224.11
Factura        ,429421,05.09.2019 00:00:00,VERLA SRL,771.79,648.56,0,123.23
Factura        ,4322,05.09.2019 00:00:00,KOLOS GROUP SRL,628.13,527.84,0,100.29
Factura        ,634423,05.09.2019 00:00:00,CONCRET CONSULT SRL,1790.73,1504.81,0,285.92
Factura        ,634424,05.09.2019 00:00:00,CONCRET CONSULT SRL,371.24,311.96,0,59.28
Factura        ,7017387,05.09.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,870.1,731.16,0,138.94
Factura        ,71917658,05.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,2636.51,2214,0,422.51
Factura        ,71917661,05.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,3668.02,3082.27,0,585.75
Factura        ,2069316,06.09.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,666.21,559.84,0,106.37
Factura        ,4327,06.09.2019 00:00:00,KOLOS GROUP SRL,1642.14,1379.94,0,262.2
Factura        ,7102856,06.09.2019 00:00:00,DACORA PRINT SRL,2179.2,1831.26,0,347.94
Factura        ,1876,12.09.2019 00:00:00,PIM SERVICE SRL,521.2,437.9,0,83.3
Factura        ,1877,12.09.2019 00:00:00,PIM SERVICE SRL,470,395,0,75
Factura        ,71918214,12.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,3398.65,2856.01,0,542.64
Factura        ,71918216,12.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,1611.35,1354.07,0,257.28
Factura        ,71918222,12.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,2391.9,2010,0,381.9
Factura        ,636124,16.09.2019 00:00:00,CONCRET CONSULT SRL,1542.47,1296.18,0,246.29
Factura        ,636125,16.09.2019 00:00:00,CONCRET CONSULT SRL,397.85,334,0,63.85
Factura        ,7017661,16.09.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,2239.69,1882.07,0,357.62
Factura        ,71918404,16.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,6085.25,5113.65,0,971.6
Factura        ,4376,17.09.2019 00:00:00,KOLOS GROUP SRL,619.74,520.79,0,98.95
Factura        ,71918789,19.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,485.14,407.68,0,77.46
Factura        ,71918872,19.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,856.65,719.84,0,136.81
Factura        ,71918905,20.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,1403.61,1179.5,0,224.11
Factura        ,71919077,23.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,423.26,355.68,0,67.58
Factura        ,71919127,23.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,2870.28,2412,0,458.28
Factura        ,1881,26.09.2019 00:00:00,PIM SERVICE SRL,1224.59,1028.99,0,195.6
Factura        ,638563,27.09.2019 00:00:00,CONCRET CONSULT SRL,1076.85,904.24,0,172.61
Factura        ,638564,27.09.2019 00:00:00,CONCRET CONSULT SRL,253.47,213,0,40.47
Factura        ,4424,30.09.2019 00:00:00,KOLOS GROUP SRL,251.25,211.13,0,40.12
Factura        ,7017972,30.09.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,212.42,178.5,0,33.92
Factura        ,71919539,30.09.2019 00:00:00,EUROPAPIER ROMANIA SRL,2870.28,2412,0,458.28
Factura        ,1062566,01.10.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,670.92,563.76,0,107.16
Factura        ,71919844,02.10.2019 00:00:00,EUROPAPIER ROMANIA SRL,839.92,705.36,0,134.56
Factura        ,1000429107,03.10.2019 00:00:00,ANTALIS SA,3583.03,3010.51,0,572.52
Factura        ,4440,03.10.2019 00:00:00,KOLOS GROUP SRL,369.5,310.5,0,59
Factura        ,4449,03.10.2019 00:00:00,KOLOS GROUP SRL,1256.25,1055.67,0,200.58
Factura        ,7018046,03.10.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,1622.42,1363.35,0,259.07
Factura        ,9050,07.10.2019 00:00:00,PHONUS SRL,871.68,732.5,0,139.18
Factura        ,1887,08.10.2019 00:00:00,PIM SERVICE SRL,1199.89,1008.29,0,191.6
Factura        ,640349,08.10.2019 00:00:00,CONCRET CONSULT SRL,1090.86,916.68,0,174.18
Factura        ,7104011,08.10.2019 00:00:00,DACORA PRINT SRL,1090.23,916.16,0,174.07
Factura        ,1000429586,09.10.2019 00:00:00,ANTALIS SA,688.84,578.81,0,110.03
Factura        ,1500007651,10.10.2019 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,7104.3,5970,0,1134.3
Factura        ,1063613,14.10.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,457.18,384.17,0,73.01
Factura        ,71920658,14.10.2019 00:00:00,EUROPAPIER ROMANIA SRL,1658.41,1393.62,0,264.79
Factura        ,642075,16.10.2019 00:00:00,CONCRET CONSULT SRL,1047.5,880.25,0,167.25
Factura        ,7104309,17.10.2019 00:00:00,DACORA PRINT SRL,1987.96,1670.55,0,317.41
Factura        ,71921049,17.10.2019 00:00:00,EUROPAPIER ROMANIA SRL,5212.12,4379.92,0,832.2
Factura        ,7018373,18.10.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,362.76,304.84,0,57.92
Factura        ,71921185,18.10.2019 00:00:00,EUROPAPIER ROMANIA SRL,1981.95,1665.5,0,316.45
Factura        ,643046,22.10.2019 00:00:00,CONCRET CONSULT SRL,916.1,769.83,0,146.27
Factura        ,643047,22.10.2019 00:00:00,CONCRET CONSULT SRL,231.25,194.32,0,36.93
Factura        ,7018418,22.10.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,670.68,563.58,0,107.1
Factura        ,7018450,23.10.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,991.12,832.86,0,158.26
Factura        ,126363,25.10.2019 00:00:00,LANDER SPORT SRL,307.23,258.12,0,49.11
Factura        ,644375,28.10.2019 00:00:00,CONCRET CONSULT SRL,942.07,791.65,0,150.42
Factura        ,2073868,29.10.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,336.44,282.72,0,53.72
Factura        ,7108549,29.10.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,1224.57,1029.05,0,195.52
Factura        ,71921433,29.10.2019 00:00:00,EUROPAPIER ROMANIA SRL,4783.8,4020,0,763.8
Factura        ,71922165,30.10.2019 00:00:00,EUROPAPIER ROMANIA SRL,845.88,710.77,0,135.11
Factura        ,9211,30.10.2019 00:00:00,PHONUS SRL,227.29,191,0,36.29
Factura        ,71922257,31.10.2019 00:00:00,EUROPAPIER ROMANIA SRL,3740.48,3143.26,0,597.22
Factura        ,7018646,04.11.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,834.42,701.18,0,133.24
Factura        ,9246,05.11.2019 00:00:00,PHONUS SRL,871.68,732.5,0,139.18
Factura        ,646032,06.11.2019 00:00:00,CONCRET CONSULT SRL,2029.49,1705.45,0,324.04
Factura        ,646033,06.11.2019 00:00:00,CONCRET CONSULT SRL,916.56,770.14,0,146.42
Factura        ,646034,06.11.2019 00:00:00,CONCRET CONSULT SRL,524.38,440.65,0,83.73
Factura        ,4610,08.11.2019 00:00:00,KOLOS GROUP SRL,753.75,633.4,0,120.35
Factura        ,71923311,12.11.2019 00:00:00,EUROPAPIER ROMANIA SRL,1106.83,930.1,0,176.73
Factura        ,4619,13.11.2019 00:00:00,KOLOS GROUP SRL,502.5,422.27,0,80.23
Factura        ,1101597,14.11.2019 00:00:00,ALMAS OFFICE SRL,860.87,723.41,0,137.46
Factura        ,71923692,15.11.2019 00:00:00,EUROPAPIER ROMANIA SRL,4712.4,3960,0,752.4
Factura        ,1896,16.11.2019 00:00:00,PIM SERVICE SRL,1004,843.68,0,160.32
Factura        ,1000434019,19.11.2019 00:00:00,ANTALIS SA,124.59,104.7,0,19.89
Factura        ,4663,19.11.2019 00:00:00,KOLOS GROUP SRL,502.5,422.27,0,80.23
Factura        ,71924057,19.11.2019 00:00:00,EUROPAPIER ROMANIA SRL,6232.62,5237.48,0,995.14
Factura        ,71924090,20.11.2019 00:00:00,EUROPAPIER ROMANIA SRL,828.24,696,0,132.24
Factura        ,7019073,25.11.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,348.82,293.1,0,55.72
Factura        ,7019106,26.11.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,1646.46,1383.58,0,262.88
Factura        ,71924596,26.11.2019 00:00:00,EUROPAPIER ROMANIA SRL,1788.1,1502.6,0,285.5
Factura        ,71924614,26.11.2019 00:00:00,EUROPAPIER ROMANIA SRL,425.88,357.88,0,68
Factura        ,713,28.11.2019 00:00:00,SAV COM ADVERTISING S.R.L.,452.2,380,0,72.2
Factura        ,4700,29.11.2019 00:00:00,KOLOS GROUP SRL,2395.89,2013.34,0,382.55
Factura        ,1500008225,02.12.2019 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,3427.2,2880,0,547.2
Factura        ,7106005,02.12.2019 00:00:00,DACORA PRINT SRL,2334.87,1962.07,0,372.8
Factura        ,650743,03.12.2019 00:00:00,CONCRET CONSULT SRL,781.34,656.58,0,124.76
Factura        ,9492,03.12.2019 00:00:00,PHONUS SRL,850.26,714.5,0,135.76
Factura        ,521,04.12.2019 00:00:00,SUBLIMEDIANET SRL,776.83,652.8,0,124.03
Factura        ,9510,04.12.2019 00:00:00,PHONUS SRL,289.17,243,0,46.17
Factura        ,71925597,05.12.2019 00:00:00,EUROPAPIER ROMANIA SRL,719.23,604.39,0,114.84
Factura        ,9518,05.12.2019 00:00:00,PHONUS SRL,414.12,348,0,66.12
Factura        ,1407,06.12.2019 00:00:00,PIM SERVICE SRL,2164.88,1819.18,0,345.7
Factura        ,9537,06.12.2019 00:00:00,PHONUS SRL,1206.66,1014,0,192.66
Factura        ,9538,06.12.2019 00:00:00,PHONUS SRL,327.25,275,0,52.25
Factura        ,1067576,09.12.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,851.63,715.64,0,135.99
Factura        ,651913,09.12.2019 00:00:00,CONCRET CONSULT SRL,884.92,743.62,0,141.3
Factura        ,71925791,09.12.2019 00:00:00,EUROPAPIER ROMANIA SRL,2927.77,2460.3,0,467.47
Factura        ,567,10.12.2019 00:00:00,SUBLIMEDIANET SRL,875.65,735.84,0,139.81
Factura        ,71926137,11.12.2019 00:00:00,EUROPAPIER ROMANIA SRL,1403.61,1179.5,0,224.11
Factura        ,752,11.12.2019 00:00:00,SAV COM ADVERTISING S.R.L.,1178.1,990,0,188.1
Factura        ,71926205,12.12.2019 00:00:00,EUROPAPIER ROMANIA SRL,4641,3900,0,741
Factura        ,1415,13.12.2019 00:00:00,PIM SERVICE SRL,1300.01,1092.44,0,207.57
Factura        ,768,16.12.2019 00:00:00,SAV COM ADVERTISING S.R.L.,892.5,750,0,142.5
Factura        ,653940,18.12.2019 00:00:00,CONCRET CONSULT SRL,1261.89,1060.41,0,201.48
Factura        ,7019583,18.12.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,1004.7,844.26,0,160.44
Factura        ,71926712,18.12.2019 00:00:00,EUROPAPIER ROMANIA SRL,12077.02,10148.65,0,1928.37
Factura        ,71926716,18.12.2019 00:00:00,EUROPAPIER ROMANIA SRL,2695.8,2265.33,0,430.47
Factura        ,71926719,18.12.2019 00:00:00,EUROPAPIER ROMANIA SRL,24.28,20.4,0,3.88
Factura        ,9672,18.12.2019 00:00:00,PHONUS SRL,2159.85,1815,0,344.85
Factura        ,119116224,19.12.2019 00:00:00,MONS MEDIUS SOLUTIONS S.A.,802.03,673.95,0,128.08
Factura        ,1068665,23.12.2019 00:00:00,LECOM BIROTICA ARDEAL SRL,1051.15,883.31,0,167.84
Factura        ,1424,24.12.2019 00:00:00,PIM SERVICE SRL,2294.08,1927.8,0,366.28
Factura        ,1425,27.12.2019 00:00:00,PIM SERVICE SRL,1399.84,1176.31,0,223.53
Factura        ,7019701,06.01.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,739.42,621.36,0,118.06
Factura        ,1000437939,08.01.2020 00:00:00,ANTALIS SA,1102.16,926.1,0,176.06
Factura        ,655567,08.01.2020 00:00:00,CONCRET CONSULT SRL,748.71,629.17,0,119.54
Factura        ,655568,08.01.2020 00:00:00,CONCRET CONSULT SRL,340.16,285.84,0,54.32
Factura        ,72000209,08.01.2020 00:00:00,EUROPAPIER ROMANIA SRL,1141.74,959.44,0,182.3
Factura        ,72000386,09.01.2020 00:00:00,EUROPAPIER ROMANIA SRL,1044.32,877.58,0,166.74
Factura        ,7019770,10.01.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,1232,1035.28,0,196.72
Factura        ,72000438,10.01.2020 00:00:00,EUROPAPIER ROMANIA SRL,2320.5,1950,0,370.5
Factura        ,1069244,13.01.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,537.76,451.9,0,85.86
Factura        ,194754,13.01.2020 00:00:00,VERLA SRL,780.31,655.72,0,124.59
Factura        ,72000522,13.01.2020 00:00:00,EUROPAPIER ROMANIA SRL,4641,3900,0,741
Factura        ,7019874,15.01.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,901.21,757.29,0,143.92
Factura        ,657305,17.01.2020 00:00:00,CONCRET CONSULT SRL,965.4,811.26,0,154.14
Factura        ,72001070,20.01.2020 00:00:00,EUROPAPIER ROMANIA SRL,1403.61,1179.5,0,224.11
Factura        ,1432,21.01.2020 00:00:00,PIM SERVICE SRL,1470,1235.27,0,234.73
Factura        ,1000439231,22.01.2020 00:00:00,ANTALIS SA,675.67,567.75,0,107.92
Factura        ,2080357,22.01.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,746.49,627.3,0,119.19
Factura        ,658180,22.01.2020 00:00:00,CONCRET CONSULT SRL,756.2,635.46,0,120.74
Factura        ,7020016,22.01.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,738.21,620.31,0,117.9
Factura        ,72001299,22.01.2020 00:00:00,EUROPAPIER ROMANIA SRL,7183.19,6036.28,0,1146.91
Factura        ,1434,24.01.2020 00:00:00,PIM SERVICE SRL,850,714.29,0,135.71
Factura        ,4905,27.01.2020 00:00:00,KOLOS GROUP SRL,190.02,159.68,0,30.34
Factura        ,4913,28.01.2020 00:00:00,KOLOS GROUP SRL,753.75,633.4,0,120.35
Factura        ,72001714,28.01.2020 00:00:00,EUROPAPIER ROMANIA SRL,5067.36,4258.29,0,809.07
Factura        ,7020188,31.01.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,456.24,383.37,0,72.87
Factura        ,72001973,31.01.2020 00:00:00,EUROPAPIER ROMANIA SRL,2535.48,2130.65,0,404.83
Factura        ,4937,03.02.2020 00:00:00,KOLOS GROUP SRL,1256.25,1055.67,0,200.58
Factura        ,7020226,03.02.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,294.29,247.28,0,47.01
Factura        ,72002185,04.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,4641,3900,0,741
Factura        ,660492,05.02.2020 00:00:00,CONCRET CONSULT SRL,515.84,436.35,0,79.49
Factura        ,72002277,05.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,2172.1,1825.29,0,346.81
Factura        ,72002280,05.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,561.27,471.63,0,89.64
Factura        ,1071040,06.02.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,553.42,465.06,0,88.36
Factura        ,72002485,07.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,408.82,343.54,0,65.28
Factura        ,72002701,11.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,4641,3900,0,741
Factura        ,72002703,11.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,361.84,304.06,0,57.78
Factura        ,7020414,12.02.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,658.34,553.2,0,105.14
Factura        ,72002856,12.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,886.53,744.98,0,141.55
Factura        ,72002910,13.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,2010.51,1689.5,0,321.01
Factura        ,7020468,14.02.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,244.28,205.28,0,39
Factura        ,72003090,14.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,782.41,657.48,0,124.93
Factura        ,72003093,14.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,2320.5,1950,0,370.5
Factura        ,72003153,17.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,4641,3900,0,741
Factura        ,4993,18.02.2020 00:00:00,KOLOS GROUP SRL,1256.25,1055.67,0,200.58
Factura        ,662685,18.02.2020 00:00:00,CONCRET CONSULT SRL,704.12,591.69,0,112.43
Factura        ,7020515,18.02.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,301.26,253.16,0,48.1
Factura        ,72003291,18.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,2320.5,1950,0,370.5
Factura        ,72003534,21.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,4641,3900,0,741
Factura        ,1445,24.02.2020 00:00:00,PIM SERVICE SRL,1169.89,983.09,0,186.8
Factura        ,663671,24.02.2020 00:00:00,CONCRET CONSULT SRL,973.68,817.73,0,155.95
Factura        ,72003648,24.02.2020 00:00:00,EUROPAPIER ROMANIA SRL,6665.43,5600.43,0,1065
Factura        ,7020638,25.02.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,232.55,195.4,0,37.15
Factura        ,2083528,28.02.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,410.34,344.8,0,65.54
Factura        ,7020718,28.02.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,510.22,428.76,0,81.46
Factura        ,72004289,02.03.2020 00:00:00,EUROPAPIER ROMANIA SRL,6044.61,5079.5,0,965.11
Factura        ,72004417,03.03.2020 00:00:00,EUROPAPIER ROMANIA SRL,2842.38,2388.53,0,453.85
Factura        ,7020810,04.03.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,1258.71,1057.71,0,201
Factura        ,72004620,05.03.2020 00:00:00,EUROPAPIER ROMANIA SRL,1169.95,983.15,0,186.8
Factura        ,72004805,09.03.2020 00:00:00,EUROPAPIER ROMANIA SRL,5242.1,4405.12,0,836.98
Factura        ,1910,12.03.2020 00:00:00,PIM SERVICE SRL,1559.99,1310.92,0,249.07
Factura        ,72005178,12.03.2020 00:00:00,EUROPAPIER ROMANIA SRL,791.05,664.75,0,126.3
Factura        ,1000444145,16.03.2020 00:00:00,ANTALIS SA,127.22,106.9,0,20.32
Factura        ,5126,16.03.2020 00:00:00,KOLOS GROUP SRL,641.17,538.8,0,102.37
Factura        ,667457,16.03.2020 00:00:00,CONCRET CONSULT SRL,960.21,806.89,0,153.32
Factura        ,7021041,18.03.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,578.43,486.05,0,92.38
Factura        ,7021094,23.03.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,152.74,128.35,0,24.39
Factura        ,72006006,26.03.2020 00:00:00,EUROPAPIER ROMANIA SRL,779.36,654.92,0,124.44
Factura        ,10348,30.03.2020 00:00:00,PHONUS SRL,503.37,423,0,80.37
Factura        ,7021172,01.04.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,293.06,246.26,0,46.8
Factura        ,72006421,06.04.2020 00:00:00,EUROPAPIER ROMANIA SRL,685.41,575.97,0,109.44
Factura        ,671281,15.04.2020 00:00:00,CONCRET CONSULT SRL,415.01,348.74,0,66.27
Factura        ,7021294,15.04.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,412.18,346.37,0,65.81
Factura        ,7021308,22.04.2020 00:00:00,LECOM BIROTICA ARDEAL SRL,780.28,655.6,0,124.68
Factura        ,5192,29.04.2020 00:00:00,KOLOS GROUP SRL,403.96,339.46,0,64.5
Factura        ,673082,06.05.2020 00:00:00,CONCRET CONSULT SRL,1128.06,947.95,0,180.11
